ISO,Country,Emp,EmpFTI,Unemp,EarnQual,LabMarkSec,JobStrain,LongHours,LowIncome,GenderIneq,EmplGap,YEmp,YEmpFTI,YUnemp,YEarnQual,YLabMarkSec,YJobStrain,YLongHours,YLowIncome,YGenderIneq,YEmplGap,evoEmp,evoEmpFTI,evoUnemp,evoEarnQual,evoLabMarkSec,evoJobStrain,evoLongHours,evoLowIncome,evoGenderIneq,evoEmplGap
ISL,Iceland,84.22874995,74.90307528,4.162373378,21.1815,0.72159,,7.327734617,4.558192384,33.96497965,9.839498,2015,2015,2015,2013,2013,,2012,2012,2014,2015,stable,stable,stable,stable,stable,,stable,stable,down,stable
CHE,Switzerland,80.22400445,67.13386522,4.664435745,28.5223,1.69979,27.96871,1.85640802,6.3470097,49.46721792,15.34045,2015,2015,2015,2012,2013,2005,2013,2013,2014,2015,stable,stable,stable,up,stable,,stable,stable,,down
SWE,Sweden,75.54413039,70.08610994,7.574013834,19.829,5.16322,37.86729,1.877128676,9.4,24.40247983,14.21436,2015,2015,2015,2012,2013,2015,2013,2013,2014,2015,stable,stable,stable,stable,up,up,stable,up,down,stable
NOR,Norway,74.85786312,66.63974391,4.512149512,28.1981,1.45363,28.99747,1.753913317,9.01,35.09209454,16.53994,2015,2015,2015,2014,2013,2010,2013,2013,2014,2015,stable,stable,stable,up,stable,stable,stable,up,stable,stable
NZL,New Zealand,74.27997251,64.95712438,6.012966665,16.6946,4.89538,23.25722311,5.514620688,9.1,,18.47803,2015,2015,2015,2013,2013,2005,2012,2012,,2015,stable,stable,up,stable,up,,stable,down,,stable
NLD,Netherlands,74.11104833,57.72317001,6.921901844,29.1756,3.08575,41.16933,2.550716765,9,46.57963216,22.13784,2015,2015,2015,2010,2013,2015,2014,2014,2014,2015,stable,stable,up,up,up,up,stable,up,down,down
DEU,Germany,73.96736367,64.60316769,4.720806297,24.4584,2.73081,45.53272,3.271310458,9.09,45.43029964,20.32852,2015,2015,2015,2013,2013,2015,2013,2013,2014,2015,up,up,down,stable,stable,down,stable,stable,down,down
DNK,Denmark,73.50543118,64.29676851,6.309874755,27.3196,2.28841,30.52347,2.401739403,6.67,24.05481189,18.75565,2015,2015,2015,2013,2013,2015,2013,2013,2014,2015,down,down,up,stable,stable,stable,stable,up,down,stable
JPN,Japan,73.27451998,71.45629368,3.518961394,16.0868,2.356,50.14526311,9.178832117,14.5,57.664948,24.79309,2015,2015,2015,2013,2013,2005,2012,2012,2015,2015,stable,up,stable,stable,stable,,down,up,down,down
GBR,United Kingdom,73.22600526,63.66612321,5.672601644,16.8179,5.6782,36.55666,5.205217791,9.8,42.80140698,23.04801,2015,2015,2015,2014,2013,2015,2013,2013,2014,2015,stable,stable,stable,stable,stable,stable,stable,stable,stable,stable
CAN,Canada,72.50910502,65.0756787,6.999250209,19.6523,3.85577,32.85823607,3.378245108,12.8286061,39.68315423,19.4453,2015,2015,2015,2014,2013,2005,2013,2013,2015,2015,stable,stable,stable,stable,stable,,stable,stable,,stable
AUS,Australia,72.16142984,61.51394128,6.223350326,21.0017,3.91979,28.61022874,6.139333558,10.2,44.15430725,21.42638,2015,2015,2015,2013,2013,2005,2014,2014,2014,2015,stable,stable,stable,stable,stable,,stable,stable,stable,stable
EST,Estonia,71.82472412,68.7874179,6.266633673,6.70226,7.60688,35.32588,1.490280537,14.91511438,30.71921766,21.58791,2015,2015,2015,2010,2013,2015,2013,2013,2014,2015,up,stable,stable,stable,up,stable,stable,up,down,stable
AUT,Austria,71.10585347,62.74314039,5.822500987,21.266,2.22976,44.41045,4.853073114,8.454251886,46.5985477,21.87543,2015,2015,2015,2013,2013,2015,2013,2013,2014,2015,stable,stable,stable,stable,stable,stable,down,up,stable,down
CZE,Czech Republic,70.22702104,68.72581622,5.130561632,8.48912,4.73324,40.22242,3.61758583,5.600712231,45.73232234,31.12715,2015,2015,2015,2014,2013,2015,2013,2013,2014,2015,up,up,stable,stable,up,down,down,stable,stable,down
FIN,Finland,68.72842348,63.82531418,9.507575758,20.2905,2.56437,28.00404,2.846098286,7.87371,21.89138532,18.79451,2015,2015,2015,2013,2013,2015,2014,2014,2014,2015,stable,stable,stable,stable,stable,stable,stable,stable,down,stable
USA,United States,68.70915793,64.16958271,5.367123084,17.6098,5.16428,33.06878403,3.763074314,15.6854,40.18398225,25.42274,2015,2015,2015,2014,2013,2005,2014,2014,2014,2015,stable,stable,stable,stable,stable,,stable,stable,stable,stable
ISR,Israel,68.32003837,62.39756453,5.342534643,8.51597,3.85616,34.38024235,5.271127359,14.6539466,,14.07279,2015,2015,2015,2011,2013,2005,2013,2013,,2015,up,up,down,stable,down,,down,stable,,down
LVA,Latvia,68.09863138,65.76728701,10.07684319,,,,1.435391993,12.30494931,22.03547955,18.12137,2015,2015,2015,,,,2013,2013,2014,2015,stable,stable,up,,,,down,stable,,stable
LUX,Luxembourg,66.1251934,60.76727608,6.705705914,28.672,2.10665,36.5575,1.997028096,8.040827381,36.62290275,25.00951,2015,2015,2015,2010,2013,2015,2013,2013,2014,2015,stable,stable,stable,stable,stable,stable,stable,up,down,down
KOR,Korea,65.74870662,62.20961521,3.735181973,9.61669,2.11647,53.73643485,22.6251747,9.2796039,60.96554399,32.26393,2015,2015,2015,2014,2013,2005,2014,2014,2012,2015,stable,stable,stable,stable,stable,,down,down,down,stable
SVN,Slovenia,65.21987552,61.94913509,9.105565348,14.4042,5.17801,48.60615,3.218296511,8.78986354,22.43138701,28.56027,2015,2015,2015,2013,2013,2015,2013,2013,2014,2015,stable,stable,up,,up,stable,stable,up,stable,up
FRA,France,64.27137308,59.60008387,10.12043623,20.089,4.61196,45.19924,4.929316927,7.9439888,35.3035301,27.53147,2015,2015,2015,2012,2013,2015,2013,2013,2014,2015,stable,stable,stable,stable,stable,stable,stable,stable,stable,stable
HUN,Hungary,63.94356255,62.56907672,6.847836998,7.27394,7.84816,49.10353,1.91741415,9.98419,28.64262164,34.78258,2015,2015,2015,2014,2013,2015,2014,2014,2014,2015,up,up,stable,stable,up,stable,stable,up,stable,stable
PRT,Portugal,63.90034087,60.61548932,12.94122408,8.6451,11.6778,46.16815,4.695024268,13.27110144,29.39029038,21.955,2015,2015,2015,2013,2013,2015,2013,2013,2014,2015,down,down,up,stable,up,down,stable,up,0,stable
